adj,noun,adj_article,article,mass
ox,tail,an,a,FALSE
plastic,bag,a,a,FALSE
bible,school,a,a,FALSE
joint,group,a,a,FALSE
giant,committee,a,a,FALSE
executive,committee,an,a,FALSE
bible,road,a,a,FALSE
orange,leaflet,an,a,FALSE
red,side,a,a,FALSE
forty,person,a,a,FALSE
rash,treasurer,a,a,FALSE
forty,pound,a,a,FALSE
yellow,sheet,a,a,FALSE
forty,chapel,a,a,FALSE
directory,root,a,a,FALSE
print,printer,a,a,FALSE
sweet,person,a,a,FALSE
dish,mum,a,a,FALSE
dish,cloth,a,a,FALSE
dark,hair,,,TRUE
key,windowsill,a,a,FALSE
brandy,brandy,,,TRUE
outhouse,door,an,a,FALSE
furniture,curtain,a,a,FALSE
pelican,crossing,a,a,FALSE
fridge,door,a,a,FALSE
key,back,a,a,FALSE
thick,loaf,a,a,FALSE
dark,yard,a,a,FALSE
burglar,alarm,a,an,FALSE
ant,powder,,,TRUE
wet,filter,a,a,FALSE
green,man,a,a,FALSE
thick,pound,a,a,FALSE
dustbin,duck,a,a,FALSE
hot,bun,a,a,FALSE
fish,seafood,,,TRUE
fish,meal,a,a,FALSE
fish,shop,a,a,FALSE
material,material,a,a,FALSE
pound,postage,,,TRUE
sugar,spoon,a,a,FALSE
cut,bread,,,TRUE
apple,pie,an,a,FALSE
round,edge,a,an,FALSE
rust,one,a,a,FALSE
caravan,season,a,a,FALSE
round,corner,a,a,FALSE
round,camp,a,a,FALSE
frozen,pea,a,a,FALSE
sweet,pea,a,a,FALSE
marble,flooring,,,TRUE
green,worktop,a,a,FALSE
green,marble,a,a,FALSE
hot,water,,,TRUE
flat,bedroom,a,a,FALSE
alcove,bedroom,an,a,FALSE
attic,bedroom,an,a,FALSE
blind,skylight,a,a,FALSE
bottom,row,a,a,FALSE
solid,house,a,a,FALSE
back,door,a,a,FALSE
downstairs,back,a,a,FALSE
queen,king,a,a,FALSE
orange,letter,an,a,FALSE
yellow,flower,a,a,FALSE
top,top,a,a,FALSE
coral,reef,a,a,FALSE
hot,tank,a,a,FALSE
upstairs,flat,an,a,FALSE
pussy,cat,a,a,FALSE
top,gear,a,a,FALSE
